size,internal_edges,external_edges,density,avg_clustering,diameter,avg_path_length,avg_degree,max_degree,modularity_contrib,conductance,community_id
2935,19877,1521,0.004616497644371517,0.4785137901082326,16,7.230457689846701,14.063032367972744,32,0.010648334669815077,0.0368503937007874,81
3412,23688,185,0.004070686417950614,0.5149930127000308,18,7.358036873325147,13.939331770222744,28,0.012672907505014416,0.00388974159500431,64
3436,24138,453,0.00409026439802553,0.4326214970712554,15,6.605830041702464,14.181897555296857,30,0.012908550356945088,0.009296312257587884,67
3317,23435,564,0.004261229845301083,0.44073136163650634,14,6.588238460131363,14.300271329514622,28,0.012536666023764546,0.011890205337943247,68
2668,18728,39,0.005263959696192398,0.4163802749674685,13,5.867443387417652,14.05359820089955,37,0.010047437353661468,0.0010401386851580212,69
15,98,0,0.9333333333333333,0.8788800088800091,2,1.2095238095238094,13.066666666666666,16,5.311376737226982e-05,0.0,70
2351,15763,1031,0.005706218268369277,0.5180492301750306,19,8.04179479985882,13.848149723521905,31,0.008465794578265472,0.031667536935221306,75
1010,6856,402,0.013455141351597994,0.44888539639115876,14,5.3268308000274756,13.974257425742575,30,0.003701363049638149,0.02848235794246847,72
1758,11873,1014,0.00768776025428596,0.4960203108815743,19,7.8253946670655266,14.084186575654153,30,0.006390212766870002,0.04095315024232633,73
2272,15271,990,0.005919322628859905,0.5018278468949354,17,6.846747647930737,13.878521126760564,39,0.008203952158733886,0.03139667639223646,74
152,1074,94,0.09358661554548624,0.5450824322383194,7,3.215580341582433,14.75,26,0.0005817452880862799,0.04192685102586976,76
1376,9427,3,0.009965116279069767,0.510198248117735,15,6.363044397463002,13.70421511627907,25,0.005083375430274555,0.0001590921143341995,77
2731,18459,1530,0.004951694223023407,0.4551127696032616,14,6.393147460375582,14.078359575247163,28,0.009896322424429876,0.039794007490636704,78
803,5759,119,0.01788492653795151,0.48542640656489305,16,5.816914749241467,14.491905354919053,30,0.003111467014009626,0.010226003265446421,79
10,55,0,1.2222222222222223,1.0,1,1.0,11.0,11,2.9809441761902736e-05,0.0,80
726,5156,34,0.0195915265507742,0.4994004282806401,16,6.4435337703049305,14.25068870523416,27,0.0027867216971070945,0.003286294219988401,82
81,532,4,0.16419753086419753,0.7332428887984441,8,3.904320987654321,13.185185185185185,18,0.00028826342561612446,0.003745318352059925,84
601,3936,35,0.021830282861896838,0.4118303293666337,11,4.8881752634498055,13.156405990016639,22,0.0021287439651212748,0.004426457569242443,85
859,5969,217,0.01619761689610351,0.5125887100901989,15,6.465663168806358,14.150174621653084,26,0.003224383149854877,0.017852735499794322,86
23,184,0,0.7272727272727273,0.8528633837558324,2,1.3201581027667983,16.0,24,9.971915950294087e-05,0.0,87
2077,14176,975,0.006575364831631512,0.46785859136103763,17,7.494900103250297,14.119884448724122,31,0.007620311147425706,0.03324581443720803,88
946,6644,347,0.014864033468684631,0.48132362177811727,13,6.045158114925557,14.413319238900634,32,0.003587433958622003,0.02544921158782545,90
987,7032,7,0.014451561989432603,0.564245283370719,17,7.589786905224305,14.256332320162107,30,0.003796845116135096,0.0004974770805202189,91
1310,8873,61,0.010348789064550178,0.41799801949023235,14,6.202195020964666,13.593129770992366,23,0.00478593143760838,0.0034256191385410232,92
2089,13709,1453,0.0062858908825466,0.4448869236326621,16,7.124727866639522,13.82048827190043,31,0.0073691433834941564,0.050327318070035675,93
2125,14516,812,0.006432258779217902,0.4263731644095734,15,6.370371108895536,14.044235294117646,27,0.007802346476681514,0.02720814904168342,94
2273,15148,220,0.005866479121097018,0.4730632289214415,17,7.221474690642757,13.425428948526177,26,0.008141915299477043,0.00720933280901822,95
220,1446,19,0.06002490660024907,0.4965545606549687,9,4.1058530510585305,13.231818181818182,21,0.0007831183399535011,0.006526966678117485,96
937,6680,209,0.015233195596055788,0.47089166805137,12,5.232698464822264,14.481323372465315,27,0.003607078038490168,0.01540275628270322,97
223,1538,18,0.06213388276168545,0.5421750769735456,12,5.441522239728518,13.874439461883409,25,0.0008329021854465807,0.005817711700064641,98
535,3880,36,0.027162308796247682,0.4863541773545626,14,5.242920648255102,14.57196261682243,31,0.0020985196416203056,0.004617752693689072,100
197,1302,25,0.0674401740391588,0.7676935401110039,10,4.581321868849063,13.345177664974619,25,0.0007051842128088571,0.009509319132750094,101
60,456,0,0.2576271186440678,0.7500480374047812,7,3.0203389830508476,15.2,27,0.0002470936539978931,0.0,102
976,6823,0,0.01434005884825557,0.571361780825434,17,6.704062631357713,13.98155737704918,28,0.0036844309945097357,0.0,103
34,224,0,0.39928698752228164,0.8680202377065622,3,1.8734402852049912,13.176470588235293,27,0.00012139460547196416,0.0,104
996,6882,298,0.013888720711993704,0.523470563009629,18,7.928330407055357,14.11847389558233,34,0.0037155628104490065,0.021191864599630208,105
515,3445,21,0.02602848400135998,0.39743393248803716,10,4.53821918325715,13.419417475728155,23,0.0018637029351635805,0.0030386340616408622,106
651,4403,215,0.020810587262200166,0.5286458512150666,17,7.307347276379534,13.857142857142858,25,0.0023804758048639237,0.023833277907105644,107
11,65,0,1.1818181818181819,0.9818181818181819,2,1.018181818181818,11.818181818181818,12,3.52291493132339e-05,0.0,108
182,1300,80,0.07892659826361484,0.5009341258866767,7,3.2738145832068484,14.725274725274724,27,0.000704080315541135,0.029850746268656716,109
705,5050,287,0.02034977433913604,0.4285549240181633,10,4.9833212443584785,14.733333333333333,30,0.002729206630175752,0.027630692211418117,110
14,93,0,1.021978021978022,0.9027750027750027,2,1.1318681318681318,13.285714285714286,15,5.040401788513609e-05,0.0,111
14,95,0,1.043956043956044,0.9450549450549451,2,1.065934065934066,13.571428571428571,15,5.148791944261265e-05,0.0,113
28,189,0,0.5,0.7075296260695421,3,1.6904761904761905,13.5,20,0.00010242864165890841,0.0,114
605,4194,150,0.022954408625690984,0.5744101569232196,21,7.544042471676427,14.112396694214876,30,0.0022678194159849643,0.017568517217146872,115
16,115,0,0.9583333333333334,0.9116383616383618,2,1.125,14.375,17,6.232680575835289e-05,0.0,116
23,185,0,0.7312252964426877,0.8526538678712593,2,1.308300395256917,16.08695652173913,24,0.00010026105710921641,0.0,117
